2D Navier Stokes Equation Using Finite Volume Method
GRID Size:	 32 	 X 32 
Time Step for the simulation: 0.010986
Reynolds number of the simulation:100.000000
Iteration no:	70	 Ures: 	7.8462123953e-04	 Vres: 	5.1912499301e-04	 
Iteration no:	71	 Ures: 	7.4571430301e-04	 Vres: 	4.9926985532e-04	 
Iteration no:	72	 Ures: 	7.1182963411e-04	 Vres: 	4.8103335126e-04	 
Iteration no:	73	 Ures: 	6.8469643395e-04	 Vres: 	4.6486642342e-04	 
Iteration no:	74	 Ures: 	6.6533824049e-04	 Vres: 	4.5117008177e-04	 
Iteration no:	75	 Ures: 	6.5388730555e-04	 Vres: 	4.4023429357e-04	 
Iteration no:	76	 Ures: 	6.4956305984e-04	 Vres: 	4.3218432520e-04	 
Iteration no:	77	 Ures: 	6.5084328317e-04	 Vres: 	4.2694797143e-04	 
Iteration no:	78	 Ures: 	6.5576688243e-04	 Vres: 	4.2425348857e-04	 
Iteration no:	79	 Ures: 	6.6225919449e-04	 Vres: 	4.2365963973e-04	 
Iteration no:	80	 Ures: 	6.6839216860e-04	 Vres: 	4.2460982959e-04	 
Iteration no:	81	 Ures: 	6.7254694669e-04	 Vres: 	4.2649661818e-04	 
Iteration no:	82	 Ures: 	6.7348983004e-04	 Vres: 	4.2872309091e-04	 
Iteration no:	83	 Ures: 	6.7038925843e-04	 Vres: 	4.3075203875e-04	 
Iteration no:	84	 Ures: 	6.6279966747e-04	 Vres: 	4.3213941760e-04	 
Iteration no:	85	 Ures: 	6.5062999089e-04	 Vres: 	4.3255269790e-04	 
Iteration no:	86	 Ures: 	6.3410688094e-04	 Vres: 	4.3177678646e-04	 
Iteration no:	87	 Ures: 	6.1373731569e-04	 Vres: 	4.2971065672e-04	 
Iteration no:	88	 Ures: 	5.9027177890e-04	 Vres: 	4.2635742151e-04	 
Iteration no:	89	 Ures: 	5.6466670735e-04	 Vres: 	4.2180991886e-04	 
Iteration no:	90	 Ures: 	5.3804260930e-04	 Vres: 	4.1623327767e-04	 
Iteration no:	91	 Ures: 	5.1163182915e-04	 Vres: 	4.0984551594e-04	 
Iteration no:	92	 Ures: 	4.8670790835e-04	 Vres: 	4.0289702163e-04	 
Iteration no:	93	 Ures: 	4.6448889079e-04	 Vres: 	3.9564975363e-04	 
Iteration no:	94	 Ures: 	4.4601330863e-04	 Vres: 	3.8835712783e-04	 
Iteration no:	95	 Ures: 	4.3200273358e-04	 Vres: 	3.8124574478e-04	 
Iteration no:	96	 Ures: 	4.2274484518e-04	 Vres: 	3.7450026409e-04	 
Iteration no:	97	 Ures: 	4.1804137245e-04	 Vres: 	3.6825271135e-04	 
Iteration no:	98	 Ures: 	4.1724977474e-04	 Vres: 	3.6257721893e-04	 
Iteration no:	99	 Ures: 	4.1940909044e-04	 Vres: 	3.5749062755e-04	 
Iteration no:	100	 Ures: 	4.2340586662e-04	 Vres: 	3.5295860779e-04	 
Iteration no:	101	 Ures: 	4.2812974996e-04	 Vres: 	3.4890618716e-04	 
Iteration no:	102	 Ures: 	4.3258759990e-04	 Vres: 	3.4523100613e-04	 
Iteration no:	103	 Ures: 	4.3596971657e-04	 Vres: 	3.4181741627e-04	 
Iteration no:	104	 Ures: 	4.3767716474e-04	 Vres: 	3.3854969294e-04	 
Iteration no:	105	 Ures: 	4.3732344198e-04	 Vres: 	3.3532306131e-04	 
Iteration no:	106	 Ures: 	4.3472167803e-04	 Vres: 	3.3205177329e-04	 
Iteration no:	107	 Ures: 	4.2986472531e-04	 Vres: 	3.2867398413e-04	 
Iteration no:	108	 Ures: 	4.2290215643e-04	 Vres: 	3.2515357493e-04	 
Iteration no:	109	 Ures: 	4.1411587179e-04	 Vres: 	3.2147932679e-04	 
Iteration no:	110	 Ures: 	4.0389458156e-04	 Vres: 	3.1766199039e-04	 
Iteration no:	111	 Ures: 	3.9270658596e-04	 Vres: 	3.1372984507e-04	 
Iteration no:	112	 Ures: 	3.8106987903e-04	 Vres: 	3.0972333921e-04	 
Iteration no:	113	 Ures: 	3.6951866468e-04	 Vres: 	3.0568937171e-04	 
Iteration no:	114	 Ures: 	3.5856606757e-04	 Vres: 	3.0167572527e-04	 
Iteration no:	115	 Ures: 	3.4866431397e-04	 Vres: 	2.9772609819e-04	 
Iteration no:	116	 Ures: 	3.4016585352e-04	 Vres: 	2.9387609848e-04	 
Iteration no:	117	 Ures: 	3.3329111603e-04	 Vres: 	2.9015046099e-04	 
Iteration no:	118	 Ures: 	3.2810957928e-04	 Vres: 	2.8656162448e-04	 
Iteration no:	119	 Ures: 	3.2453933100e-04	 Vres: 	2.8310967164e-04	 
Iteration no:	120	 Ures: 	3.2236623673e-04	 Vres: 	2.7978350367e-04	 
Iteration no:	121	 Ures: 	3.2127876096e-04	 Vres: 	2.7656301098e-04	 
Iteration no:	122	 Ures: 	3.2091084675e-04	 Vres: 	2.7342192589e-04	 
Iteration no:	123	 Ures: 	3.2088457582e-04	 Vres: 	2.7033101192e-04	 
Iteration no:	124	 Ures: 	3.2084631769e-04	 Vres: 	2.6726125538e-04	 
Iteration no:	125	 Ures: 	3.2049320781e-04	 Vres: 	2.6418677080e-04	 
Iteration no:	126	 Ures: 	3.1958956572e-04	 Vres: 	2.6108719954e-04	 
Iteration no:	127	 Ures: 	3.1797455107e-04	 Vres: 	2.5794945684e-04	 
Iteration no:	128	 Ures: 	3.1556297863e-04	 Vres: 	2.5476875587e-04	 
Iteration no:	129	 Ures: 	3.1234114436e-04	 Vres: 	2.5154890032e-04	 
Iteration no:	130	 Ures: 	3.0835913399e-04	 Vres: 	2.4830188778e-04	 
Iteration no:	131	 Ures: 	3.0372065481e-04	 Vres: 	2.4504690393e-04	 
Iteration no:	132	 Ures: 	2.9857108356e-04	 Vres: 	2.4180881545e-04	 
Iteration no:	133	 Ures: 	2.9308421332e-04	 Vres: 	2.3861628926e-04	 
Iteration no:	134	 Ures: 	2.8744812389e-04	 Vres: 	2.3549968005e-04	 
Iteration no:	135	 Ures: 	2.8185068457e-04	 Vres: 	2.3248883684e-04	 
Iteration no:	136	 Ures: 	2.7646539421e-04	 Vres: 	2.2961098218e-04	 
Iteration no:	137	 Ures: 	2.7143850487e-04	 Vres: 	2.2688881281e-04	 
Iteration no:	138	 Ures: 	2.6687855857e-04	 Vres: 	2.2433895515e-04	 
Iteration no:	139	 Ures: 	2.6284946913e-04	 Vres: 	2.2197088243e-04	 
Iteration no:	140	 Ures: 	2.5936801093e-04	 Vres: 	2.1978636268e-04	 
Iteration no:	141	 Ures: 	2.5640603056e-04	 Vres: 	2.1777946089e-04	 
Iteration no:	142	 Ures: 	2.5389699314e-04	 Vres: 	2.1593706935e-04	 
Iteration no:	143	 Ures: 	2.5174581438e-04	 Vres: 	2.1423989523e-04	 
Iteration no:	144	 Ures: 	2.4984050777e-04	 Vres: 	2.1266379791e-04	 
Iteration no:	145	 Ures: 	2.4806409407e-04	 Vres: 	2.1118134702e-04	 
Iteration no:	146	 Ures: 	2.4630544515e-04	 Vres: 	2.0976346604e-04	 
Iteration no:	147	 Ures: 	2.4446814212e-04	 Vres: 	2.0838103499e-04	 
Iteration no:	148	 Ures: 	2.4247687259e-04	 Vres: 	2.0700634579e-04	 
Iteration no:	149	 Ures: 	2.4028126549e-04	 Vres: 	2.0561433073e-04	 
Iteration no:	150	 Ures: 	2.3785731738e-04	 Vres: 	2.0418351348e-04	 
Iteration no:	151	 Ures: 	2.3520670408e-04	 Vres: 	2.0269666014e-04	 
Iteration no:	152	 Ures: 	2.3235432641e-04	 Vres: 	2.0114113133e-04	 
Iteration no:	153	 Ures: 	2.2934444720e-04	 Vres: 	1.9950895556e-04	 
Iteration no:	154	 Ures: 	2.2623577059e-04	 Vres: 	1.9779665775e-04	 
Iteration no:	155	 Ures: 	2.2309581528e-04	 Vres: 	1.9600488576e-04	 
Iteration no:	156	 Ures: 	2.1999494981e-04	 Vres: 	1.9413788254e-04	 
Iteration no:	157	 Ures: 	2.1700048639e-04	 Vres: 	1.9220285337e-04	 
Iteration no:	158	 Ures: 	2.1417125579e-04	 Vres: 	1.9020927656e-04	 
Iteration no:	159	 Ures: 	2.1155308743e-04	 Vres: 	1.8816820252e-04	 
Iteration no:	160	 Ures: 	2.0917557403e-04	 Vres: 	1.8609158158e-04	 
Iteration no:	161	 Ures: 	2.0705039614e-04	 Vres: 	1.8399165420e-04	 
Iteration no:	162	 Ures: 	2.0517132101e-04	 Vres: 	1.8188042956e-04	 
Iteration no:	163	 Ures: 	2.0351579845e-04	 Vres: 	1.7976927004e-04	 
Iteration no:	164	 Ures: 	2.0204788974e-04	 Vres: 	1.7766859019e-04	 
Iteration no:	165	 Ures: 	2.0072212500e-04	 Vres: 	1.7558766971e-04	 
Iteration no:	166	 Ures: 	1.9948781590e-04	 Vres: 	1.7353457212e-04	 
Iteration no:	167	 Ures: 	1.9829335949e-04	 Vres: 	1.7151615335e-04	 
Iteration no:	168	 Ures: 	1.9709014142e-04	 Vres: 	1.6953813999e-04	 
Iteration no:	169	 Ures: 	1.9583575543e-04	 Vres: 	1.6760525345e-04	 
Iteration no:	170	 Ures: 	1.9449637461e-04	 Vres: 	1.6572135581e-04	 
Iteration no:	171	 Ures: 	1.9304821586e-04	 Vres: 	1.6388959477e-04	 
Iteration no:	172	 Ures: 	1.9147812251e-04	 Vres: 	1.6211252851e-04	 
Iteration no:	173	 Ures: 	1.8978334835e-04	 Vres: 	1.6039221639e-04	 
Iteration no:	174	 Ures: 	1.8797066211e-04	 Vres: 	1.5873026736e-04	 
Iteration no:	175	 Ures: 	1.8605491144e-04	 Vres: 	1.5712784421e-04	 
Iteration no:	176	 Ures: 	1.8405719524e-04	 Vres: 	1.5558562774e-04	 
Iteration no:	177	 Ures: 	1.8200279631e-04	 Vres: 	1.5410374984e-04	 
Iteration no:	178	 Ures: 	1.7991902587e-04	 Vres: 	1.5268170842e-04	 
Iteration no:	179	 Ures: 	1.7783312677e-04	 Vres: 	1.5131827902e-04	 
Iteration no:	180	 Ures: 	1.7577037280e-04	 Vres: 	1.5001143841e-04	 
Iteration no:	181	 Ures: 	1.7375248412e-04	 Vres: 	1.4875831425e-04	 
Iteration no:	182	 Ures: 	1.7179645408e-04	 Vres: 	1.4755517195e-04	 
Iteration no:	183	 Ures: 	1.6991384837e-04	 Vres: 	1.4639744616e-04	 
Iteration no:	184	 Ures: 	1.6811059708e-04	 Vres: 	1.4527981995e-04	 
Iteration no:	185	 Ures: 	1.6638725708e-04	 Vres: 	1.4419634988e-04	 
Iteration no:	186	 Ures: 	1.6473968148e-04	 Vres: 	1.4314063112e-04	 
Iteration no:	187	 Ures: 	1.6316000034e-04	 Vres: 	1.4210599336e-04	 
Iteration no:	188	 Ures: 	1.6163779589e-04	 Vres: 	1.4108571563e-04	 
Iteration no:	189	 Ures: 	1.6016134914e-04	 Vres: 	1.4007324720e-04	 
