2D Navier Stokes Equation Using Finite Volume Method
GRID Size:	 32 	 X 32 
Time Step for the simulation: 0.010986
Reynolds number of the simulation:100.000000
Iteration no:	70	 Ures: 	3.0085756660e-03	 Vres: 	1.7894596468e-03	 
Iteration no:	71	 Ures: 	2.9933159851e-03	 Vres: 	1.8056733444e-03	 
Iteration no:	72	 Ures: 	2.9331904780e-03	 Vres: 	1.8049897228e-03	 
Iteration no:	73	 Ures: 	2.8323119350e-03	 Vres: 	1.7884951678e-03	 
Iteration no:	74	 Ures: 	2.6967490050e-03	 Vres: 	1.7583658269e-03	 
Iteration no:	75	 Ures: 	2.5341371728e-03	 Vres: 	1.7170696042e-03	 
Iteration no:	76	 Ures: 	2.3547199491e-03	 Vres: 	1.6679537614e-03	 
Iteration no:	77	 Ures: 	2.1719017082e-03	 Vres: 	1.6137769077e-03	 
Iteration no:	78	 Ures: 	2.0060735486e-03	 Vres: 	1.5581125769e-03	 
Iteration no:	79	 Ures: 	1.8871710573e-03	 Vres: 	1.5036986618e-03	 
Iteration no:	80	 Ures: 	1.8457876110e-03	 Vres: 	1.4544617763e-03	 
Iteration no:	81	 Ures: 	1.8731289219e-03	 Vres: 	1.4133501126e-03	 
Iteration no:	82	 Ures: 	1.9358790298e-03	 Vres: 	1.3836905326e-03	 
Iteration no:	83	 Ures: 	2.0120279177e-03	 Vres: 	1.3658045405e-03	 
Iteration no:	84	 Ures: 	2.0884721345e-03	 Vres: 	1.3584214015e-03	 
Iteration no:	85	 Ures: 	2.1567795631e-03	 Vres: 	1.3576584856e-03	 
Iteration no:	86	 Ures: 	2.2103950106e-03	 Vres: 	1.3604202199e-03	 
Iteration no:	87	 Ures: 	2.2451232824e-03	 Vres: 	1.3635609476e-03	 
Iteration no:	88	 Ures: 	2.2581008784e-03	 Vres: 	1.3656519539e-03	 
Iteration no:	89	 Ures: 	2.2485400075e-03	 Vres: 	1.3652054249e-03	 
Iteration no:	90	 Ures: 	2.2168070868e-03	 Vres: 	1.3620037613e-03	 
Iteration no:	91	 Ures: 	2.1650086680e-03	 Vres: 	1.3554563348e-03	 
Iteration no:	92	 Ures: 	2.0960231212e-03	 Vres: 	1.3461074274e-03	 
Iteration no:	93	 Ures: 	2.0140055254e-03	 Vres: 	1.3340242074e-03	 
Iteration no:	94	 Ures: 	1.9232976508e-03	 Vres: 	1.3203254495e-03	 
Iteration no:	95	 Ures: 	1.8290115722e-03	 Vres: 	1.3053170009e-03	 
Iteration no:	96	 Ures: 	1.7358613745e-03	 Vres: 	1.2901328654e-03	 
Iteration no:	97	 Ures: 	1.6490291119e-03	 Vres: 	1.2747930696e-03	 
Iteration no:	98	 Ures: 	1.5728886864e-03	 Vres: 	1.2602130927e-03	 
Iteration no:	99	 Ures: 	1.5120795065e-03	 Vres: 	1.2461570112e-03	 
Iteration no:	100	 Ures: 	1.4698324507e-03	 Vres: 	1.2333514866e-03	 
Iteration no:	101	 Ures: 	1.4484742042e-03	 Vres: 	1.2211927803e-03	 
Iteration no:	102	 Ures: 	1.4464158123e-03	 Vres: 	1.2099715664e-03	 
Iteration no:	103	 Ures: 	1.4583196869e-03	 Vres: 	1.1987045256e-03	 
Iteration no:	104	 Ures: 	1.4757851952e-03	 Vres: 	1.1874959790e-03	 
Iteration no:	105	 Ures: 	1.4914500039e-03	 Vres: 	1.1754562557e-03	 
Iteration no:	106	 Ures: 	1.4999555678e-03	 Vres: 	1.1628820907e-03	 
Iteration no:	107	 Ures: 	1.4986698907e-03	 Vres: 	1.1492031814e-03	 
Iteration no:	108	 Ures: 	1.4867950385e-03	 Vres: 	1.1349492486e-03	 
Iteration no:	109	 Ures: 	1.4653783738e-03	 Vres: 	1.1198108413e-03	 
Iteration no:	110	 Ures: 	1.4365076327e-03	 Vres: 	1.1044359523e-03	 
Iteration no:	111	 Ures: 	1.4034698183e-03	 Vres: 	1.0886629158e-03	 
Iteration no:	112	 Ures: 	1.3698957603e-03	 Vres: 	1.0731927313e-03	 
Iteration no:	113	 Ures: 	1.3397900937e-03	 Vres: 	1.0580057416e-03	 
Iteration no:	114	 Ures: 	1.3160044120e-03	 Vres: 	1.0438841040e-03	 
Iteration no:	115	 Ures: 	1.3001698400e-03	 Vres: 	1.0309472966e-03	 
Iteration no:	116	 Ures: 	1.2917424193e-03	 Vres: 	1.0199786628e-03	 
Iteration no:	117	 Ures: 	1.2895531495e-03	 Vres: 	1.0110504265e-03	 
Iteration no:	118	 Ures: 	1.2916393412e-03	 Vres: 	1.0046742053e-03	 
Iteration no:	119	 Ures: 	1.2965213162e-03	 Vres: 	1.0005740262e-03	 
Iteration no:	120	 Ures: 	1.3024732572e-03	 Vres: 	9.9875732316e-04	 
Iteration no:	121	 Ures: 	1.3082961744e-03	 Vres: 	9.9851440550e-04	 
Iteration no:	122	 Ures: 	1.3125962840e-03	 Vres: 	9.9943899177e-04	 
Iteration no:	123	 Ures: 	1.3144324703e-03	 Vres: 	1.0006079330e-03	 
Iteration no:	124	 Ures: 	1.3127933492e-03	 Vres: 	1.0015068356e-03	 
Iteration no:	125	 Ures: 	1.3071763584e-03	 Vres: 	1.0013378672e-03	 
Iteration no:	126	 Ures: 	1.2971896876e-03	 Vres: 	9.9983366457e-04	 
Iteration no:	127	 Ures: 	1.2830065623e-03	 Vres: 	9.9662537391e-04	 
Iteration no:	128	 Ures: 	1.2649765852e-03	 Vres: 	9.9188251724e-04	 
Iteration no:	129	 Ures: 	1.2439346614e-03	 Vres: 	9.8566394008e-04	 
Iteration no:	130	 Ures: 	1.2207747384e-03	 Vres: 	9.7839165131e-04	 
Iteration no:	131	 Ures: 	1.1966497466e-03	 Vres: 	9.7024310433e-04	 
Iteration no:	132	 Ures: 	1.1725355622e-03	 Vres: 	9.6158492320e-04	 
Iteration no:	133	 Ures: 	1.1494244655e-03	 Vres: 	9.5250324829e-04	 
Iteration no:	134	 Ures: 	1.1279746995e-03	 Vres: 	9.4324615396e-04	 
Iteration no:	135	 Ures: 	1.1087787772e-03	 Vres: 	9.3385352055e-04	 
Iteration no:	136	 Ures: 	1.0920946638e-03	 Vres: 	9.2453598232e-04	 
Iteration no:	137	 Ures: 	1.0781145099e-03	 Vres: 	9.1532511744e-04	 
Iteration no:	138	 Ures: 	1.0667003214e-03	 Vres: 	9.0636310916e-04	 
Iteration no:	139	 Ures: 	1.0576255632e-03	 Vres: 	8.9759282468e-04	 
Iteration no:	140	 Ures: 	1.0503691208e-03	 Vres: 	8.8902746018e-04	 
Iteration no:	141	 Ures: 	1.0443934912e-03	 Vres: 	8.8053832556e-04	 
Iteration no:	142	 Ures: 	1.0390322496e-03	 Vres: 	8.7212714185e-04	 
Iteration no:	143	 Ures: 	1.0337698200e-03	 Vres: 	8.6376386237e-04	 
Iteration no:	144	 Ures: 	1.0281441996e-03	 Vres: 	8.5558482854e-04	 
Iteration no:	145	 Ures: 	1.0219425132e-03	 Vres: 	8.4770569791e-04	 
Iteration no:	146	 Ures: 	1.0150619248e-03	 Vres: 	8.4032935082e-04	 
Iteration no:	147	 Ures: 	1.0076170566e-03	 Vres: 	8.3356603243e-04	 
Iteration no:	148	 Ures: 	9.9978590065e-04	 Vres: 	8.2752223675e-04	 
Iteration no:	149	 Ures: 	9.9186924611e-04	 Vres: 	8.2218240021e-04	 
Iteration no:	150	 Ures: 	9.8414636685e-04	 Vres: 	8.1750760134e-04	 
Iteration no:	151	 Ures: 	9.7690961270e-04	 Vres: 	8.1336677111e-04	 
Iteration no:	152	 Ures: 	9.7035400285e-04	 Vres: 	8.0962789482e-04	 
Iteration no:	153	 Ures: 	9.6461608772e-04	 Vres: 	8.0611883292e-04	 
Iteration no:	154	 Ures: 	9.5971202692e-04	 Vres: 	8.0270545268e-04	 
Iteration no:	155	 Ures: 	9.5558178961e-04	 Vres: 	7.9926845686e-04	 
Iteration no:	156	 Ures: 	9.5206421789e-04	 Vres: 	7.9575304470e-04	 
Iteration no:	157	 Ures: 	9.4894158520e-04	 Vres: 	7.9213730340e-04	 
Iteration no:	158	 Ures: 	9.4594378047e-04	 Vres: 	7.8844220760e-04	 
Iteration no:	159	 Ures: 	9.4279089245e-04	 Vres: 	7.8469270619e-04	 
Iteration no:	160	 Ures: 	9.3921515468e-04	 Vres: 	7.8091074679e-04	 
Iteration no:	161	 Ures: 	9.3499481619e-04	 Vres: 	7.7709580844e-04	 
Iteration no:	162	 Ures: 	9.2997956236e-04	 Vres: 	7.7322704381e-04	 
Iteration no:	163	 Ures: 	9.2410357545e-04	 Vres: 	7.6927096392e-04	 
Iteration no:	164	 Ures: 	9.1739535552e-04	 Vres: 	7.6518669150e-04	 
